by now i figured i'd seen every alfred hitchcock film at least a half-dozen times -- not that i'm complaining . 	Translation	Positive	Negative	EmotionRationale
if she is freed , he will be able to forget her . 	if she is freed , he will be able to forget her .	1	-1	 if[0] she[0] is[0] freed[0] he[0] will[0] be[0] able[0] to[0] forget[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as part of the soap opera , a mysterious louis jordan plays mr . paradine's valet , who has had some not to be discussed relationships . 	as part of the soap opera , a mysterious louis jordan plays mr .<br> paradine's valet , who has had some not to be discussed relationships .	2	-1	 as[0] part[0] of[0] the[0] soap[0] opera[0] a[0] mysterious[0] louis[0] jordan[0] plays[1] mr[0] [[Sentence=-1,2=word max, 1-5]] paradine's[0] valet[0] who[0] has[0] had[0] some[0] not[0] to[0] be[0] discussed[0] relationships[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
charles coburn plays anthony's legal partner , sir simon flaquer . 	charles coburn plays anthony's legal partner , sir simon flaquer .	2	-1	 charles[0] coburn[0] plays[1] anthony's[0] legal[0] partner[0] sir[0] simon[0] flaquer[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and charles laughton , who looks like coburn , is judge lord horfield . 	and charles laughton , who looks like coburn , is judge lord horfield .	2	-1	 and[0] charles[0] laughton[1] who[0] looks[0] like[1] coburn[0] is[0] judge[0] lord[0] horfield[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this being proper british society , they will all dine together at the judge's house not long before the case begins . 	this being proper british society , they will all dine together at the judge's house not long before the case begins .	1	-1	 this[0] being[0] proper[0] british[0] society[0] they[0] will[0] all[0] dine[0] together[0] at[0] the[0] judge's[0] house[0] not[0] long[0] before[0] the[0] case[0] begins[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
court tv junkies will probably pick up the many differences , some subtle and others not , between the american and the british judicial systems . 	court tv junkies will probably pick up the many differences , some subtle and others not , between the american and the british judicial systems .	1	-1	 court[0] tv[0] junkies[0] will[0] probably[0] pick[0] up[0] the[0] many[0] differences[0] some[0] subtle[0] and[0] others[0] not[0] between[0] the[0] american[0] and[0] the[0] british[0] judicial[0] systems[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one , for example , of which i was not aware is that the barrister cannot speak to his own client during the recess if she is the process of testifying . 	one , for example , of which i was not aware is that the barrister cannot speak to his own client during the recess if she is the process of testifying .	1	-1	 one[0] for[0] example[0] of[0] which[0] i[0] was[0] not[0] aware[0] is[0] that[0] the[0] barrister[0] cannot[0] speak[0] to[0] his[0] own[0] client[0] during[0] the[0] recess[0] if[0] she[0] is[0] the[0] process[0] of[0] testifying[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one sometimes wonders what the academy is thinking when they make their oscar nominations . 	one sometimes wonders what the academy is thinking when they make their oscar nominations .	1	-1	 one[0] sometimes[0] wonders[0] what[0] the[0] academy[0] is[0] thinking[0] when[0] they[0] make[0] their[0] oscar[0] nominations[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as the judge's wife , lady sophie horfield , ethel barrymore got a nomination for best supporting actress -- the film's only nomination -- for an inconsequential part with which she did little of merit . 	as the judge's wife , lady sophie horfield , ethel barrymore got a nomination for best supporting actress - the film's only nomination - for an inconsequential part with which she did little of merit .	2	-1	 as[0] the[0] judge's[0] wife[0] lady[0] sophie[0] horfield[0] ethel[0] barrymore[0] got[0] a[0] nomination[0] for[0] best[1] supporting[1] actress[0] the[0] film's[0] only[0] nomination[0] for[0] an[0] inconsequential[0] part[0] with[0] which[0] she[0] did[0] little[0] of[0] merit[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 ( so the big question is when does hitchcock make his obligatory walk-on ? 	 ( so the big question is when does hitchcock make his obligatory walk-on ?	1	-1	 so[0] the[0] big[0] question[0] is[0] when[0] does[0] hitchcock[0] make[0] his[0] obligatory[0] walk[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at 37 minutes into the film , he leaves a train station carrying a large musical instrument case . 	at 37 minutes into the film , he leaves a train station carrying a large musical instrument case .	1	-1	 at[0] 37[0] minutes[0] into[0] the[0] film[0] he[0] leaves[0] a[0] train[0] station[0] carrying[0] a[0] large[0] musical[0] instrument[0] case[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
don't miss it . ) 	don't miss it .<br> )	2	-1	 don't[0] miss[-1][NegatedDueToPreviousWord] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in the second half the story finally comes alive when it gets into the courtroom . 	in the second half the story finally comes alive when it gets into the courtroom .	1	-1	 in[0] the[0] second[0] half[0] the[0] story[0] finally[0] comes[0] alive[0] when[0] it[0] gets[0] into[0] the[0] courtroom[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the great master shows his hand there as the tensions build as rapidly in the second part as they lay fallow in the first . 	the great master shows his hand there as the tensions build as rapidly in the second part as they lay fallow in the first .	3	-3	 the[0] great[2] master[0] shows[0] his[0] hand[0] there[0] as[0] the[0] tensions[-2] build[0] as[0] rapidly[0] in[0] the[0] second[0] part[0] as[0] they[0] lay[0] fallow[0] in[0] the[0] first[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
watch how the camera angles are sometimes from the back and other times from way on high to set the exact tone for the trial's action . 	watch how the camera angles are sometimes from the back and other times from way on high to set the exact tone for the trial's action .	1	-1	 watch[0] how[0] the[0] camera[0] angles[0] are[0] sometimes[0] from[0] the[0] back[0] and[0] other[0] times[0] from[0] way[0] on[0] high[0] to[0] set[0] the[0] exact[0] tone[0] for[0] the[0] trial's[0] action[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as anthony explains it , the simple case has only 3 possibilities : mr . paradine poisoned himself , mrs . paradine did it , or the valet did it . 	as anthony explains it , the simple case has only 3 possibilities : mr .<br> paradine poisoned himself , mrs .<br> paradine did it , or the valet did it .	1	-3	 as[0] anthony[0] explains[0] it[0] the[0] simple[0] case[0] has[0] only[0] 3[0] possibilities[0] mr[0] [[Sentence=-1,1=word max, 1-5]] paradine[0] poisoned[-2] himself[0] mrs[0] [[Sentence=-3,1=word max, 1-5]] paradine[0] did[0] it[0] or[0] the[0] valet[0] did[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
the end includes many devastating revelations and some nice twists so it is too bad the first half is so languid . 	the end includes many devastating revelations and some nice twists so it is too bad the first half is so languid .	1	-5	 the[0] end[0] includes[0] many[0] devastating[-4] revelations[0] and[0] some[0] nice[1][-1 LastWordBoosterStrength] twists[0] so[0] it[0] is[0] too[0] bad[-1] the[0] first[0] half[0] is[0] so[0] languid[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
the paradine case runs 1 : 53 . 	the paradine case runs 1 : 53 .	1	-1	 the[0] paradine[0] case[0] runs[0] 1[0] 53[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the picture is in black and white . 	the picture is in black and white .	1	-1	 the[0] picture[0] is[0] in[0] black[0] and[0] white[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is not rated but would be pg for mature themes and would be fine for kids around nine and up if they are interested . 	it is not rated but would be pg for mature themes and would be fine for kids around nine and up if they are interested .	3	-1	 it[0] is[0] not[0] rated[0] but[0] would[0] be[0] pg[0] for[0] mature[0] themes[0] and[0] would[0] be[0] fine[2] for[0] kids[0] around[0] nine[0] and[0] up[0] if[0] they[0] are[0] interested[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
