plot : a bunch of bad guys dressed up as elvis impersonators rob a vegas casino during a presley convention . 	Translation	Positive	Negative	EmotionRationale
of course , it's no secret that i am quite a big elvis fan myself so please take this whole review with that grain of salt in mind . 	of course , it's no secret that i am quite a big elvis fan myself so please take this whole review with that grain of salt in mind .	2	-1	 of[0] course[0] it's[0] no[0] secret[0] that[0] i[0] am[0] quite[0] a[0] big[0] elvis[0] fan[0] myself[0] so[0] please[1] take[0] this[0] whole[0] review[0] with[0] that[0] grain[0] of[0] salt[0] in[0] mind[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i also like these types of " guy " movies a lot , and even though the film doesn't bring much originality to the table , it does offer a pretty coherent story , some nice twists and turns , humor and a big ol' helping of whoop-ass coming straight from costner and russell's respective boots . 	i also like these types of " guy " movies a lot , and even though the film doesn't bring much originality to the table , it does offer a pretty coherent story , some nice twists and turns , humor and a big ol' helping of whoop-ass coming straight from costner and russell's respective boots .	3	-1	 i[0] also[0] like[1] these[0] types[0] of[0] guy[0] movies[0] a[0] lot[0] and[0] even[0] though[0] the[0] film[0] doesn't[0] bring[0] much[0] originality[0] to[0] the[0] table[0] it[0] does[0] offer[0] a[0] pretty[2] coherent[0] story[0] some[0] nice[1][-1 LastWordBoosterStrength] twists[0] and[0] turns[0] humor[2] and[0] a[0] big[0] ol'[0] helping[0] of[0] whoop[0] ass[0] coming[0] straight[0] from[0] costner[0] and[0] russell's[0] respective[2] boots[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
probably not a film for everyone , but definitely for those who enjoy the guns , the charismatic bad guys and a fun , if entirely disposable , adventure . 	probably not a film for everyone , but definitely for those who enjoy the guns , the charismatic bad guys and a fun , if entirely disposable , adventure .	3	-2	 probably[0] not[0] a[0] film[0] for[0] everyone[0] but[0] definitely[0] for[0] those[0] who[0] enjoy[2] the[0] guns[-1] the[0] charismatic[0] bad[-1] guys[0] and[0] a[0] fun[1] if[0] entirely[0] disposable[0] adventure[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
now see how many elvis songs i've used to pun my way through this phony review below . 	now see how many elvis songs i've used to pun my way through this phony review below .	1	-1	 now[0] see[0] how[0] many[0] elvis[0] songs[0] i've[0] used[0] to[0] pun[0] my[0] way[0] through[0] this[0] phony[0] review[0] below[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the elvis songs also recommend this movie ! 	the elvis songs also recommend this movie !	1	-1	 the[0] elvis[0] songs[0] also[0] recommend[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so whether you're lonesome tonight or any other night , remember to pack the teddy bear with bullets , leave your little sister at home , bring your bossa nova baby and rock out of that jailhouse , cause this movie ain't one to return to the sender . 	so whether you're lonesome tonight or any other night , remember to pack the teddy bear with bullets , leave your little sister at home , bring your bossa nova baby and rock out of that jailhouse , cause this movie ain't one to return to the sender .	2	-2	 so[0] whether[0] you're[0] lonesome[-1] tonight[0] or[0] any[0] other[0] night[0] remember[0] to[0] pack[0] the[0] teddy[0] bear[0] with[0] bullets[-1] leave[0] your[0] little[0] sister[0] at[0] home[0] bring[0] your[0] bossa[0] nova[0] baby[1] and[0] rock[1] out[0] of[0] that[0] jailhouse[-1] cause[0] this[0] movie[0] ain't[0] one[0] to[0] return[0] to[0] the[0] sender[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i really beg of you , whether you're stuck in the ghetto or crying in the chapel , to slap this cinematic ring around your neck and love it tender . 	i really beg of you , whether you're stuck in the ghetto or crying in the chapel , to slap this cinematic ring around your neck and love it tender .	3	-4	 i[0] really[0] beg[-1][-1 LastWordBoosterStrength] of[0] you[0] whether[0] you're[0] stuck[0] in[0] the[0] ghetto[-1] or[0] crying[-3] in[0] the[0] chapel[0] to[0] slap[-1] this[0] cinematic[0] ring[0] around[0] your[0] neck[0] and[0] love[2] it[0] tender[2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
and no suspicious minds either , folks , cause i got stung by this movie , i mean it really shook me up , and unless you're the devil in disguise himself , i think you won't be able to help falling in love with this lucky charm either . 	and no suspicious minds either , folks , cause i got stung by this movie , i mean it really shook me up , and unless you're the devil in disguise himself , i think you won't be able to help falling in love with this lucky charm either .	3	-3	 and[0] no[0] suspicious[-1] minds[0] either[0] folks[0] cause[0] i[0] got[0] stung[0] by[0] this[0] movie[0] i[0] mean[0] it[0] really[0] shook[-1][-1 LastWordBoosterStrength] me[0] up[0] and[0] unless[0] you're[0] the[0] devil[-1] in[0] disguise[-1] himself[0] i[0] think[0] you[0] won't[0] be[0] able[0] to[0] help[0] falling[0] in[0] love[2] with[0] this[0] lucky[1] charm[1] either[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
so don't be cruel , don't turn away , don't curl up with your latest flame tonite ( whether she be a hard-headed woman or not ) and surrender to the hound dog of movies that is this film . 	so don't be cruel , don't turn away , don't curl up with your latest flame tonite ( whether she be a hard-headed woman or not ) and surrender to the hound dog of movies that is this film .	4	-3	 so[0] don't[0] be[0] cruel[-3][NegatedDueToPreviousWord] don't[0] turn[0] away[0] don't[0] curl[0] up[0] with[0] your[0] latest[0] flame[-2] tonite[0] whether[0] she[0] be[0] a[0] hard[0] headed[0] woman[0] or[0] not[0] and[0] surrender[0] to[0] the[0] hound[0] dog[0] of[0] movies[0] that[0] is[0] this[0] film[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
it's now or never , folks . 	it's now or never , folks .	1	-1	 it's[0] now[0] or[0] never[0] folks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
trust me , i did it my way and the heartbreak hotel of crappy movies that i'd seen so far this year is far behind me . 	trust me , i did it my way and the heartbreak hotel of crappy movies that i'd seen so far this year is far behind me .	2	-4	 trust[1] me[0] i[0] did[0] it[0] my[0] way[0] and[0] the[0] heartbreak[-3] hotel[0] of[0] crappy[-2] movies[0] that[0] i'd[0] seen[0] so[0] far[0] this[0] year[0] is[0] far[0] behind[0] me[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
joblo has now officially left the sanity of his mind and this building . 	joblo has now officially left the sanity of his mind and this building .	1	-1	 joblo[0] has[0] now[0] officially[0] left[0] the[0] sanity[0] of[0] his[0] mind[0] and[0] this[0] building[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
thank you . . . thank 	thank you .<br> .<br> .<br> thank	2	-1	 thank[1] you[0] [[Sentence=-1,2=word max, 1-5]] thank[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
you very much ! ! 	you very much !<br> !	1	-1	 you[0] very[0] much[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
where's joblo coming from ? 	where's joblo coming from ?	1	-1	 where's[0] joblo[0] coming[0] from[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
get carter ( 7/10 ) - heat ( 8/10 ) - honeymoon in vegas ( 9/10 ) - payback ( 8/10 ) - reindeer games ( 5/10 ) -reservoir dogs ( 9/10 ) - way of the gun ( 6/10 ) 	get carter ( 7/10 ) - heat ( 8/10 ) - honeymoon in vegas ( 9/10 ) - payback ( 8/10 ) - reindeer games ( 5/10 ) -reservoir dogs ( 9/10 ) - way of the gun ( 6/10 )	1	-2	 get[0] carter[0] 7/10[0] heat[0] 8/10[0] honeymoon[0] in[0] vegas[0] 9/10[0] payback[0] 8/10[0] reindeer[0] games[0] 5/10[0] reservoir[0] dogs[0] 9/10[0] way[0] of[0] the[0] gun[-1] 6/10[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
