barely scrapping by playing at a nyc piano bar , timothy hutton returns to his massachusetts hometown for a couple of weeks . 	Translation	Positive	Negative	EmotionRationale
so hutton is gaga over a barely-teen , one of his buddies is two-timing his girlfriend with a married old flame , another's girlfriend is sleeping with a meat cutter ( " and she's a vegetarian ! " ) . 	so hutton is gaga over a barely-teen , one of his buddies is two-timing his girlfriend with a married old flame , another's girlfriend is sleeping with a meat cutter ( " and she's a vegetarian !<br> " ) .	1	-3	 so[0] hutton[0] is[0] gaga[0] over[0] a[0] barely[0] teen[0] one[0] of[0] his[0] buddies[0] is[0] two[0] timing[0] his[0] girlfriend[0] with[0] a[0] married[0] old[0] flame[-2] another's[0] girlfriend[0] is[0] sleeping[0] with[0] a[0] meat[0] cutter[0] and[0] she's[0] a[0] vegetarian[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
things are a mess . 	things are a mess .	1	-1	 things[0] are[0] a[0] mess[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
enter uma thurman . 	enter uma thurman .	1	-1	 enter[0] uma[0] thurman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the beautiful stranger in town for a few days is both a delight in the film and one of its minor downfalls . 	the beautiful stranger in town for a few days is both a delight in the film and one of its minor downfalls .	3	-1	 the[0] beautiful[2] stranger[0] in[0] town[0] for[0] a[0] few[0] days[0] is[0] both[0] a[0] delight[2] in[0] the[0] film[0] and[0] one[0] of[0] its[0] minor[0] downfalls[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
her character is fun to watch . 	her character is fun to watch .	2	-1	 her[0] character[0] is[0] fun[1] to[0] watch[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
even more entertaining is observing the guys falling over themselves trying to impress her . 	even more entertaining is observing the guys falling over themselves trying to impress her .	2	-1	 even[0] more[0] entertaining[0] is[0] observing[0] the[0] guys[0] falling[0] over[0] themselves[0] trying[0] to[0] impress[1] her[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
like the lone ranger , before she leaves , she solves most of the problems and sets everyone onward with their lives . 	like the lone ranger , before she leaves , she solves most of the problems and sets everyone onward with their lives .	2	-2	 like[1] the[0] lone[-1] ranger[0] before[0] she[0] leaves[0] she[0] solves[0] most[0] of[0] the[0] problems[-1] and[0] sets[0] everyone[0] onward[0] with[0] their[0] lives[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the ending is a bit too pat . 	the ending is a bit too pat .	1	-1	 the[0] ending[0] is[0] a[0] bit[0] too[0] pat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
everything is tied up with a neat little bow . 	everything is tied up with a neat little bow .	1	-1	 everything[0] is[0] tied[0] up[0] with[0] a[0] neat[0] little[0] bow[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rosie o'donnell is a stand-out in her limited screen time with her brash personality and " tell it like it is " pronouncements . 	rosie o'donnell is a stand-out in her limited screen time with her brash personality and " tell it like it is " pronouncements .	2	-1	 rosie[0] o'donnell[0] is[0] a[0] stand[0] out[0] in[0] her[0] limited[0] screen[0] time[0] with[0] her[0] brash[0] personality[0] and[0] tell[0] it[0] like[1] it[0] is[0] pronouncements[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
structured somewhat like a " diner , a few years later " , this feel-good story is a good time , but ends a little too nice . 	structured somewhat like a " diner , a few years later " , this feel-good story is a good time , but ends a little too nice .	2	-1	 structured[0] somewhat[0] like[1] a[0] diner[0] a[0] few[0] years[0] later[0] this[0] feel[0] good[1] story[0] is[0] a[0] good[1] time[0] but[0] ends[0] a[0] little[0] too[0] nice[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
