note : some may consider portions of the following text to be spoilers . 	Translation	Positive	Negative	EmotionRationale
scenes which would play out as unbearably hokey in live action , such as mulan's venerable father pridefully tossing aside his cane when accepting his draft notice , are lent a sense of strength and conveyed with greater emotional clarity in animation . 	scenes which would play out as unbearably hokey in live action , such as mulan's venerable father pridefully tossing aside his cane when accepting his draft notice , are lent a sense of strength and conveyed with greater emotional clarity in animation .	3	-4	 scenes[0] which[0] would[0] play[0] out[0] as[0] unbearably[-3] hokey[0] in[0] live[0] action[0] such[0] as[0] mulan's[0] venerable[1] father[0] pridefully[0] tossing[0] aside[0] his[0] cane[0] when[0] accepting[0] his[0] draft[0] notice[0] are[0] lent[0] a[0] sense[0] of[0] strength[0] and[0] conveyed[0] with[0] greater[2] emotional[-1] clarity[0] in[0] animation[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
mulan capitalizes on this during its strongest moments , particularly during our heroine's character-defining opening half-hour . 	mulan capitalizes on this during its strongest moments , particularly during our heroine's character-defining opening half-hour .	3	-1	 mulan[0] capitalizes[0] on[0] this[0] during[0] its[0] strongest[0] moments[0] particularly[0] during[0] our[0] heroine's[2] character[0] defining[0] opening[0] half[0] hour[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's when the film attempts to integrate the traditional mainstays of recent hollywood animation -- the friendly animal sidekick , the colourful array of supporting characters -- into the mix where it goes slightly awry . 	it's when the film attempts to integrate the traditional mainstays of recent hollywood animation - the friendly animal sidekick , the colourful array of supporting characters - into the mix where it goes slightly awry .	2	-1	 it's[0] when[0] the[0] film[0] attempts[0] to[0] integrate[0] the[0] traditional[0] mainstays[0] of[0] recent[0] hollywood[0] animation[0] the[0] friendly[1] animal[0] sidekick[0] the[0] colourful[0] array[0] of[0] supporting[1] characters[0] into[0] the[0] mix[0] where[0] it[0] goes[0] slightly[0] awry[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
off to battle , mulan finds herself being trailed by a jive-talking diminutive dragon called mushu and an agreeable little " lucky " cricket , who ostensibly appear to assist in her subterfuge and realistically serve as audience-friendly comic relief . 	off to battle , mulan finds herself being trailed by a jive-talking diminutive dragon called mushu and an agreeable little " lucky " cricket , who ostensibly appear to assist in her subterfuge and realistically serve as audience-friendly comic relief .	2	-2	 off[0] to[0] battle[-1] mulan[0] finds[0] herself[0] being[0] trailed[0] by[0] a[0] jive[0] talking[0] diminutive[0] dragon[0] called[0] mushu[0] and[0] an[0] agreeable[0] little[0] lucky[1] cricket[0] who[0] ostensibly[0] appear[0] to[0] assist[0] in[0] her[0] subterfuge[0] and[0] realistically[0] serve[0] as[0] audience[0] friendly[1] comic[0] relief[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
they're affable presences , and not precisely ineffective -- reasonable amounts of humour are elicited , and eddie murphy ( who voices mushu ) is amusingly earnest -- but amidst all the high melodrama , the effect is mildly jarring and , from a storytelling perspective , questionable in its necessity . 	they're affable presences , and not precisely ineffective - reasonable amounts of humour are elicited , and eddie murphy ( who voices mushu ) is amusingly earnest - but amidst all the high melodrama , the effect is mildly jarring and , from a storytelling perspective , questionable in its necessity .	3	-2	 they're[0] affable[2] presences[0] and[0] not[0] precisely[0] ineffective[-1][NegatedDueToPreviousWord] reasonable[0] amounts[0] of[0] humour[2] are[0] elicited[0] and[0] eddie[0] murphy[0] who[0] voices[0] mushu[0] is[0] amusingly[1] earnest[0] but[0] amidst[0] all[0] the[0] high[0] melodrama[0] the[0] effect[0] is[0] mildly[0] jarring[0] and[0] from[0] a[0] storytelling[0] perspective[0] questionable[-1] in[0] its[0] necessity[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
at training camp , mulan antagonizes and eventually wins over a trio of fumbling recruits ( easily characterized simply as the short clown , the skinny clown , and the big clown ) , who provide more levity into the film with decidedly less effectiveness , and , in a familiar retread of traditional disney patterns , she grows a certain fondness for a handsome , square-jawed young captain , shang . 	at training camp , mulan antagonizes and eventually wins over a trio of fumbling recruits ( easily characterized simply as the short clown , the skinny clown , and the big clown ) , who provide more levity into the film with decidedly less effectiveness , and , in a familiar retread of traditional disney patterns , she grows a certain fondness for a handsome , square-jawed young captain , shang .	3	-2	 at[0] training[0] camp[0] mulan[0] antagonizes[-1] and[0] eventually[0] wins[0] over[0] a[0] trio[0] of[0] fumbling[0] recruits[0] easily[0] characterized[0] simply[0] as[0] the[0] short[0] clown[0] the[0] skinny[0] clown[0] and[0] the[0] big[0] clown[0] who[0] provide[0] more[0] levity[0] into[0] the[0] film[0] with[0] decidedly[0] less[0] effectiveness[0] and[0] in[0] a[0] familiar[0] retread[0] of[0] traditional[0] disney[0] patterns[0] she[0] grows[0] a[0] certain[0] fondness[2] for[0] a[0] handsome[1] square[0] jawed[0] young[0] captain[0] shang[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
everybody needs love , even ancient chinese warrior princesses , but not necessarily in * this * film . 	everybody needs love , even ancient chinese warrior princesses , but not necessarily in * this * film .	3	-1	 everybody[0] needs[0] love[2] even[0] ancient[0] chinese[0] warrior[0] princesses[0] but[0] not[0] necessarily[0] in[0] this[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the romantic angle , which lets the air out of the sails of the story's neo-feminist underpinnings , lacks any genuine spark and plays out like a contractual obligation . 	the romantic angle , which lets the air out of the sails of the story's neo-feminist underpinnings , lacks any genuine spark and plays out like a contractual obligation .	4	-1	 the[0] romantic[3] angle[0] which[0] lets[0] the[0] air[0] out[0] of[0] the[0] sails[0] of[0] the[0] story's[0] neo[0] feminist[0] underpinnings[0] lacks[0] any[0] genuine[0] spark[0] and[0] plays[1] out[0] like[1] a[0] contractual[0] obligation[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
another staple of recent disney animated films , a cache of hummable little ditties , has also obligingly been carried over to mulan but proves to be a decided weakness . 	another staple of recent disney animated films , a cache of hummable little ditties , has also obligingly been carried over to mulan but proves to be a decided weakness .	1	-2	 another[0] staple[0] of[0] recent[0] disney[0] animated[0] films[0] a[0] cache[0] of[0] hummable[0] little[0] ditties[0] has[0] also[0] obligingly[0] been[0] carried[0] over[0] to[0] mulan[0] but[0] proves[0] to[0] be[0] a[0] decided[0] weakness[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
composed by matthew wilder , none of the handful of tunes are particularly distinguishing , and one -- " i'll make a man out of you " ( unimaginatively accompanying a tired montage featuring our crew of characters transforming into lean fighting machines ) -- becomes so grating and hackneyed that it seems almost interminable . 	composed by matthew wilder , none of the handful of tunes are particularly distinguishing , and one - " i'll make a man out of you " ( unimaginatively accompanying a tired montage featuring our crew of characters transforming into lean fighting machines ) - becomes so grating and hackneyed that it seems almost interminable .	2	-3	 composed[0] by[0] matthew[0] wilder[0] none[0] of[0] the[0] handful[0] of[0] tunes[0] are[0] particularly[0] distinguishing[0] and[0] one[0] i'll[0] make[0] a[0] man[0] out[0] of[0] you[0] unimaginatively[0] accompanying[0] a[0] tired[-1] montage[0] featuring[0] our[0] crew[0] of[0] characters[0] transforming[0] into[0] lean[0] fighting[-2] machines[0] becomes[0] so[0] grating[1] and[0] hackneyed[0] that[0] it[0] seems[0] almost[0] interminable[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
only " reflections " , an early ballad of lament , proves to be a song of any consequence , serving as an effective showcase for lea salonga , one of musical theatre's most wondrously pure voices . 	only " reflections " , an early ballad of lament , proves to be a song of any consequence , serving as an effective showcase for lea salonga , one of musical theatre's most wondrously pure voices .	1	-2	 only[0] reflections[0] an[0] early[0] ballad[0] of[0] lament[-1] proves[0] to[0] be[0] a[0] song[0] of[0] any[0] consequence[0] serving[0] as[0] an[0] effective[0] showcase[0] for[0] lea[0] salonga[0] one[0] of[0] musical[0] theatre's[0] most[0] wondrously[0] pure[0] voices[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
nonetheless , mulan is an especially appealing piece of work from the disney factory , with a strong narrative arc and pleasant artwork ; the computer-generated stampede of hun warriors charging down a snow mountain is wholly impressive . 	nonetheless , mulan is an especially appealing piece of work from the disney factory , with a strong narrative arc and pleasant artwork ; the computer-generated stampede of hun warriors charging down a snow mountain is wholly impressive .	3	-1	 nonetheless[0] mulan[0] is[0] an[0] especially[0] appealing[0] piece[0] of[0] work[0] from[0] the[0] disney[0] factory[0] with[0] a[0] strong[0] narrative[0] arc[0] and[0] pleasant[2] artwork[0] the[0] computer[0] generated[0] stampede[0] of[0] hun[0] warriors[0] charging[0] down[0] a[0] snow[0] mountain[0] is[0] wholly[0] impressive[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
while the blatantly child-friendly elements at times seem incongruous with the remainder of the film , they're not dissuasive and remain fairly enjoyable . 	while the blatantly child-friendly elements at times seem incongruous with the remainder of the film , they're not dissuasive and remain fairly enjoyable .	3	-2	 while[0] the[0] blatantly[-1] child[0] friendly[1] elements[0] at[0] times[0] seem[0] incongruous[0] with[0] the[0] remainder[0] of[0] the[0] film[0] they're[0] not[0] dissuasive[0] and[0] remain[0] fairly[0] enjoyable[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
briskly paced with a smart , energetic heroine and filled with high adventure , the film is ultimately most satisfying on the intimate scale of father and daughter . 	briskly paced with a smart , energetic heroine and filled with high adventure , the film is ultimately most satisfying on the intimate scale of father and daughter .	3	-1	 briskly[0] paced[0] with[0] a[0] smart[1] energetic[0] heroine[2] and[0] filled[0] with[0] high[0] adventure[0] the[0] film[0] is[0] ultimately[0] most[0] satisfying[1] on[0] the[0] intimate[0] scale[0] of[0] father[0] and[0] daughter[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
