in one scene from " the people vs . 	Translation	Positive	Negative	EmotionRationale
flynt's other prime foe is rev . jerry falwell , who sues over a hustler parody involving him and his mother having sex in an outhouse . 	flynt's other prime foe is rev .<br> jerry falwell , who sues over a hustler parody involving him and his mother having sex in an outhouse .	1	-3	 flynt's[0] other[0] prime[0] foe[-2] is[0] rev[0] [[Sentence=-3,1=word max, 1-5]] jerry[0] falwell[0] who[0] sues[0] over[0] a[0] hustler[-1] parody[0] involving[0] him[0] and[0] his[0] mother[0] having[0] sex[0] in[0] an[0] outhouse[0] [[Sentence=-2,1=word max, 1-5]][[[1,-3 max of sentences]]]
tragedy strikes as flynt is shot by a would-be assassin , leaving him paralyzed from the waist down . 	tragedy strikes as flynt is shot by a would-be assassin , leaving him paralyzed from the waist down .	1	-3	 tragedy[-2] strikes[0] as[0] flynt[0] is[0] shot[-1] by[0] a[0] would[0] be[0] assassin[-2] leaving[0] him[0] paralyzed[-1] from[0] the[0] waist[0] down[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a dark period follows , as flynt and leasure hole up in an l . a . suite , strung out on pain killers . 	a dark period follows , as flynt and leasure hole up in an l .<br> a .<br> suite , strung out on pain killers .	1	-4	 a[0] dark[0] period[0] follows[0] as[0] flynt[0] and[0] leasure[0] hole[0] up[0] in[0] an[0] l[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] suite[0] strung[0] out[0] on[0] pain[-3] killers[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
flynt eventually kicks drugs , but leasure succumbs to addiction , and later , aids . 	flynt eventually kicks drugs , but leasure succumbs to addiction , and later , aids .	1	-2	 flynt[0] eventually[0] kicks[-1] drugs[0] but[0] leasure[0] succumbs[-1] to[0] addiction[-1] and[0] later[0] aids[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after watch falwell on tv , describing aids as a punishment from god , flynt directs his lawyer to take the falwell case to the supreme court , leading to the film's climactic courtroom scene . 	after watch falwell on tv , describing aids as a punishment from god , flynt directs his lawyer to take the falwell case to the supreme court , leading to the film's climactic courtroom scene .	3	-2	 after[0] watch[0] falwell[0] on[0] tv[0] describing[0] aids[0] as[0] a[0] punishment[-1] from[0] god[0] flynt[0] directs[0] his[0] lawyer[0] to[0] take[0] the[0] falwell[0] case[0] to[0] the[0] supreme[2] court[0] leading[0] to[0] the[0] film's[0] climactic[0] courtroom[0] scene[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
 " the people vs , larry flynt " is at its weakest when moralizing on free speech and lionizing flynt . 	 " the people vs , larry flynt " is at its weakest when moralizing on free speech and lionizing flynt .	1	-2	 the[0] people[0] vs[0] larry[0] flynt[0] is[0] at[0] its[0] weakest[-1] when[0] moralizing[0] on[0] free[0] speech[0] and[0] lionizing[0] flynt[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " if they'll protect a scumbag like me , then they'll protect all of you , " declared flynt . 	 " if they'll protect a scumbag like me , then they'll protect all of you , " declared flynt .	2	-1	 if[0] they'll[0] protect[0] a[0] scumbag[0] like[1] me[0] then[0] they'll[0] protect[0] all[0] of[0] you[0] declared[0] flynt[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he's right , of course , but the director forman cheats in portraying the opposition as little more than hypocritical buffoons . 	he's right , of course , but the director forman cheats in portraying the opposition as little more than hypocritical buffoons .	1	-3	 he's[0] right[0] of[0] course[0] but[0] the[0] director[0] forman[0] cheats[-2] in[0] portraying[0] the[0] opposition[-1] as[0] little[0] more[0] than[0] hypocritical[0] buffoons[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he also cheats in casting woody harrelson as flynt . 	he also cheats in casting woody harrelson as flynt .	1	-3	 he[0] also[0] cheats[-2] in[0] casting[0] woody[0] harrelson[0] as[0] flynt[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
harrelson is an attractive , charismatic man , and his strong performance paints flynt as a colorful folk hero . 	harrelson is an attractive , charismatic man , and his strong performance paints flynt as a colorful folk hero .	3	-1	 harrelson[0] is[0] an[0] attractive[1] charismatic[0] man[0] and[0] his[0] strong[0] performance[0] paints[0] flynt[0] as[0] a[0] colorful[0] folk[0] hero[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
even a cursory look at the real flynt , who is making the talk show circuit , and plays the judge in an early courtroom scene , shows a bloated , morose and bitter man . 	even a cursory look at the real flynt , who is making the talk show circuit , and plays the judge in an early courtroom scene , shows a bloated , morose and bitter man .	2	-2	 even[0] a[0] cursory[-1] look[0] at[0] the[0] real[0] flynt[0] who[0] is[0] making[0] the[0] talk[0] show[0] circuit[0] and[0] plays[1] the[0] judge[0] in[0] an[0] early[0] courtroom[0] scene[0] shows[0] a[0] bloated[0] morose[0] and[0] bitter[-1] man[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
an accurate portrayal of flynt would have made a more difficult film to watch , but a richer one . 	an accurate portrayal of flynt would have made a more difficult film to watch , but a richer one .	1	-2	 an[0] accurate[0] portrayal[0] of[0] flynt[0] would[0] have[0] made[0] a[0] more[0] difficult[-1] film[0] to[0] watch[0] but[0] a[0] richer[0] one[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
despite its flaws , " flynt " is a fast moving , rousing movie with some terrific acting , especially by courtney love , whose vibrant performance will likely garner an oscar nod . 	despite its flaws , " flynt " is a fast moving , rousing movie with some terrific acting , especially by courtney love , whose vibrant performance will likely garner an oscar nod .	3	-1	 despite[0] its[0] flaws[0] flynt[0] is[0] a[0] fast[0] moving[0] rousing[0] movie[0] with[0] some[0] terrific[3][-1 LastWordBoosterStrength] acting[0] especially[0] by[0] courtney[0] love[2] whose[0] vibrant[0] performance[0] will[0] likely[0] garner[0] an[0] oscar[0] nod[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the story may be candy-coated , but it's still delicious candy . 	the story may be candy-coated , but it's still delicious candy .	3	-1	 the[0] story[0] may[0] be[0] candy[0] coated[0] but[0] it's[0] still[0] delicious[2] candy[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
