if you want some hearty laughs , then rat race is the movie for you . 	Translation	Positive	Negative	EmotionRationale
the pear family situation is a fine example of the way breckman's script builds the laughs . 	the pear family situation is a fine example of the way breckman's script builds the laughs .	3	-1	 the[0] pear[0] family[0] situation[0] is[0] a[0] fine[2] example[0] of[0] the[0] way[0] breckman's[0] script[0] builds[0] the[0] laughs[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
without going into detail , this bit segues from the museum to hitler's touring car , to eva braun's dark lipstick , to lovitz burning his tongue , culminating at a ceremony honoring world war ii veterans . 	without going into detail , this bit segues from the museum to hitler's touring car , to eva braun's dark lipstick , to lovitz burning his tongue , culminating at a ceremony honoring world war i veterans .	1	-3	 without[0] going[0] into[0] detail[0] this[0] bit[0] segues[0] from[0] the[0] museum[0] to[0] hitler's[0] touring[0] car[0] to[0] eva[0] braun's[0] dark[0] lipstick[0] to[0] lovitz[0] burning[-1] his[0] tongue[0] culminating[0] at[0] a[0] ceremony[0] honoring[0] world[0] war[-2] ii/i[0] veterans[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
rat race's cast is first rate . 	rat race's cast is first rate .	1	-2	 rat[-1] race's[0] cast[0] is[0] first[0] rate[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
cleese is wonderfully devilish and madcap ; lovitz is , at first , a bit whiny , but his character grows on you ; gooding is having a fine romp ; and dave thomas almost steals the show as cleese's deadpan assistant , a man " born without a personality . " 	cleese is wonderfully devilish and madcap ; lovitz is , at first , a bit whiny , but his character grows on you ; gooding is having a fine romp ; and dave thomas almost steals the show as cleese's deadpan assistant , a man " born without a personality .<br> "	3	-3	 cleese[0] is[0] wonderfully[2] devilish[-1] and[0] madcap[0] lovitz[0] is[0] at[0] first[0] a[0] bit[0] whiny[0] but[0] his[0] character[0] grows[0] on[0] you[0] gooding[0] is[0] having[0] a[0] fine[2] romp[0] and[0] dave[0] thomas[0] almost[0] steals[-2] the[0] show[0] as[0] cleese's[0] deadpan[0] assistant[0] a[0] man[0] born[0] without[0] a[0] personality[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the film is directed by jerry zucker , who knows something about comedy . 	the film is directed by jerry zucker , who knows something about comedy .	1	-1	 the[0] film[0] is[0] directed[0] by[0] jerry[0] zucker[0] who[0] knows[0] something[0] about[0] comedy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
along with his brother , david , and friend jim abrahams , he was responsible for such hits as airplane ! 	along with his brother , david , and friend jim abrahams , he was responsible for such hits as airplane !	2	-1	 along[0] with[0] his[0] brother[0] david[0] and[0] friend[1] jim[0] abrahams[0] he[0] was[0] responsible[0] for[0] such[0] hits[0] as[0] airplane[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and ruthless people . 	and ruthless people .	1	-3	 and[0] ruthless[-2] people[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a throwaway subplot , which is good for some laughs , features cleese and his buddies , betting on a series of outlandish situations , including one dealing with a hooker and pepto-bismol . 	a throwaway subplot , which is good for some laughs , features cleese and his buddies , betting on a series of outlandish situations , including one dealing with a hooker and pepto-bismol .	2	-1	 a[0] throwaway[0] subplot[0] which[0] is[0] good[1] for[0] some[0] laughs[1][-1 LastWordBoosterStrength] features[0] cleese[0] and[0] his[0] buddies[0] betting[0] on[0] a[0] series[0] of[0] outlandish[0] situations[0] including[0] one[0] dealing[0] with[0] a[0] hooker[0] and[0] pepto[0] bismol[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is a fun little feature . 	this is a fun little feature .	2	-1	 this[0] is[0] a[0] fun[1] little[0] feature[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the only letdown comes at the finale , which is too touchy-feely and sweet , almost negating what came before it . 	the only letdown comes at the finale , which is too touchy-feely and sweet , almost negating what came before it .	2	-2	 the[0] only[0] letdown[0] comes[0] at[0] the[0] finale[0] which[0] is[0] too[0] touchy[-1] feely[0] and[0] sweet[1] almost[0] negating[0] what[0] came[0] before[0] it[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
rat race is a summer sleeper , but it will keep you awake , as will the laughter of those watching around you . 	rat race is a summer sleeper , but it will keep you awake , as will the laughter of those watching around you .	2	-2	 rat[-1] race[0] is[0] a[0] summer[0] sleeper[0] but[0] it[0] will[0] keep[0] you[0] awake[0] as[0] will[0] the[0] laughter[1] of[0] those[0] watching[0] around[0] you[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
