the laserman : somehow the title of writer-director-producer peter wang's film conjures up images of superheroes , like ultraman and spiderman . 	Translation	Positive	Negative	EmotionRationale
arthur's not-so-typical jewish mother , ruth , for example , is convinced that a chinese soul is trapped in her jewish body . 	arthur's not-so-typical jewish mother , ruth , for example , is convinced that a chinese soul is trapped in her jewish body .	1	-1	 arthur's[0] not[0] so[0] typical[0] jewish[0] mother[0] ruth[0] for[0] example[0] is[0] convinced[0] that[0] a[0] chinese[0] soul[0] is[0] trapped[0] in[0] her[0] jewish[0] body[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she has dyed her red hair black , she takes herbal medicine daily , and she is perpetually cooking up strange delicacies , such as matzo balls in soy sauce--the ultimate fusion of jewish and chinese cuisine . 	she has dyed her red hair black , she takes herbal medicine daily , and she is perpetually cooking up strange delicacies , such as matzo balls in soy sauce-the ultimate fusion of jewish and chinese cuisine .	1	-1	 she[0] has[0] dyed[0] her[0] red[0] hair[0] black[0] she[0] takes[0] herbal[0] medicine[0] daily[0] and[0] she[0] is[0] perpetually[0] cooking[0] up[0] strange[0] delicacies[0] such[0] as[0] matzo[0] balls[0] in[0] soy[0] sauce[0] the[0] ultimate[0] fusion[0] of[0] jewish[0] and[0] chinese[0] cuisine[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
veteran stage actress joan copeland takes the part and runs with it , almost stealing the movie in the process . 	veteran stage actress joan copeland takes the part and runs with it , almost stealing the movie in the process .	1	-3	 veteran[0] stage[0] actress[0] joan[0] copeland[0] takes[0] the[0] part[0] and[0] runs[0] with[0] it[0] almost[0] stealing[-2] the[0] movie[0] in[0] the[0] process[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
she plays ruth as a driven woman , determined to overcome her genetic heritage by immersing herself in chinese culture . 	she plays ruth as a driven woman , determined to overcome her genetic heritage by immersing herself in chinese culture .	2	-1	 she[0] plays[1] ruth[0] as[0] a[0] driven[0] woman[0] determined[0] to[0] overcome[0] her[0] genetic[0] heritage[0] by[0] immersing[0] herself[0] in[0] chinese[0] culture[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
arthur's girlfriend janet ( maryann urbano ) is a kooky free-spirit who would rather meditate than copulate ; her ultimate goal is orgasm through zen meditation . 	arthur's girlfriend janet ( maryan urbano ) is a kooky free-spirit who would rather meditate than copulate ; her ultimate goal is orgasm through zen meditation .	1	-1	 arthur's[0] girlfriend[0] janet[0] maryann/maryan[0] urbano[0] is[0] a[0] kooky[0] free[0] spirit[0] who[0] would[0] rather[0] meditate[0] than[0] copulate[0] her[0] ultimate[0] goal[0] is[0] orgasm[0] through[0] zen[0] meditation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
arthur's best friend , joey ( tony leung ) , is a small time thief who hustles everything from microwave ovens to machine guns . 	arthur's best friend , joey ( tony leung ) , is a small time thief who hustles everything from microwave ovens to machine guns .	2	-2	 arthur's[0] best[1] friend[1] joey[0] tony[0] leung[0] is[0] a[0] small[0] time[0] thief[-1] who[0] hustles[0] everything[0] from[0] microwave[0] ovens[0] to[0] machine[0] guns[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
joey is married to arthur's jewish sister , but he is also having an affair with a chinese immigrant who works in a whore house . 	joey is married to arthur's jewish sister , but he is also having an affair with a chinese immigrant who works in a whore house .	1	-3	 joey[0] is[0] married[0] to[0] arthur's[0] jewish[0] sister[0] but[0] he[0] is[0] also[0] having[0] an[0] affair[0] with[0] a[0] chinese[0] immigrant[0] who[0] works[0] in[0] a[0] whore[-2] house[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
arthur's 11-year-old son , jimmy , played by the amazingly adorable david chan , is--horror of horrors--bad at math ! 	arthur's 11-year-old son , jimmy , played by the amazingly adorable david chan , is-horror of horrors-bad at math !	5	-4	 arthur's[0] 11[0] year[0] old[0] son[0] jimmy[0] played[0] by[0] the[0] amazingly[2] adorable[3][+1 MultiplePositiveWords] david[0] chan[0] is[0] horror[-3] of[0] horrors[-3] bad[-1] at[0] math[0] [[Sentence=-4,5=word max, 1-5]][[[5,-4 max of sentences]]]
he finds it impossible to meet his father's lofty expectations . 	he finds it impossible to meet his father's lofty expectations .	1	-1	 he[0] finds[0] it[0] impossible[0] to[0] meet[0] his[0] father's[0] lofty[0] expectations[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the various people in arthur's life come together to form a rich tapestry of humanity . 	the various people in arthur's life come together to form a rich tapestry of humanity .	1	-1	 the[0] various[0] people[0] in[0] arthur's[0] life[0] come[0] together[0] to[0] form[0] a[0] rich[0] tapestry[0] of[0] humanity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
like wang's earlier film , a great wall ( about a san francisco family visiting relatives in china ) , the laserman revolves around cultural differences . 	like wang's earlier film , a great wall ( about a san francisco family visiting relatives in china ) , the laserman revolves around cultural differences .	3	-1	 like[1] wang's[0] earlier[0] film[0] a[0] great[2] wall[0] about[0] a[0] san[0] francisco[0] family[0] visiting[0] relatives[0] in[0] china[0] the[0] laserman[0] revolves[0] around[0] cultural[0] differences[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
every character in the film is , in some way or another , trying to find his identity--struggling to negotiate a balance between his native culture and the american way . 	every character in the film is , in some way or another , trying to find his identity-struggling to negotiate a balance between his native culture and the american way .	1	-2	 every[0] character[0] in[0] the[0] film[0] is[0] in[0] some[0] way[0] or[0] another[0] trying[0] to[0] find[0] his[0] identity[0] struggling[-1] to[0] negotiate[0] a[0] balance[0] between[0] his[0] native[0] culture[0] and[0] the[0] american[0] way[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the movie also offers a provocative look at technology . 	the movie also offers a provocative look at technology .	1	-1	 the[0] movie[0] also[0] offers[0] a[0] provocative[0] look[0] at[0] technology[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wang appears in the movie as lieutenant lu , a detective who is fed up with machines , even though he relies on them to do his job . 	wang appears in the movie as lieutenant lu , a detective who is fed up with machines , even though he relies on them to do his job .	1	-1	 wang[0] appears[0] in[0] the[0] movie[0] as[0] lieutenant[0] lu[0] a[0] detective[0] who[0] is[0] fed[0] up[0] with[0] machines[0] even[0] though[0] he[0] relies[0] on[0] them[0] to[0] do[0] his[0] job[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film views technology with a wary eye , acknowledging its necessity while at the same time realizing its potential dangers . 	the film views technology with a wary eye , acknowledging its necessity while at the same time realizing its potential dangers .	1	-2	 the[0] film[0] views[0] technology[0] with[0] a[0] wary[-1] eye[0] acknowledging[0] its[0] necessity[0] while[0] at[0] the[0] same[0] time[0] realizing[0] its[0] potential[0] dangers[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
wang raises the time-honored question of whether scientists should be held responsible for their inventions . 	wang raises the time-honored question of whether scientists should be held responsible for their inventions .	1	-1	 wang[0] raises[0] the[0] time[0] honored[0] question[0] of[0] whether[0] scientists[0] should[0] be[0] held[0] responsible[0] for[0] their[0] inventions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
was einstein responsible for the a-bomb ? 	was einstein responsible for the a-bomb ?	1	-2	 was[0] einstein[0] responsible[0] for[0] the[0] a[0] bomb[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
is arthur weiss responsible for his lasers ? 	is arthur weiss responsible for his lasers ?	1	-1	 is[0] arthur[0] weiss[0] responsible[0] for[0] his[0] lasers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie pits spirituality against technology , man against machine , and the result is a draw . 	the movie pits spirituality against technology , man against machine , and the result is a draw .	1	-2	 the[0] movie[0] pits[0] spirituality[0] against[-1] technology[0] man[0] against[-1] machine[0] and[0] the[0] result[0] is[0] a[0] draw[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
according to the film , technology has its place , but we must employ it with great forethought and caution . 	according to the film , technology has its place , but we must employ it with great forethought and caution .	3	-1	 according[0] to[0] the[0] film[0] technology[0] has[0] its[0] place[0] but[0] we[0] must[0] employ[0] it[0] with[0] great[2] forethought[0] and[0] caution[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
ironically , by its very nature , the laserman is a triumph of technology--the technology of filmmaking . 	ironically , by its very nature , the laserman is a triumph of technology-the technology of filmmaking .	3	-2	 ironically[-1] by[0] its[0] very[0] nature[0] the[0] laserman[0] is[0] a[0] triumph[2] of[0] technology[0] the[0] technology[0] of[0] filmmaking[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
wang's direction is exquisite , especially during the tense finale in which the director frantically cross-cuts between the various subplots , perhaps in homage to d . w . 	wang's direction is exquisite , especially during the tense finale in which the director frantically cross-cuts between the various subplots , perhaps in homage to d .<br> w .	1	-3	 wang's[0] direction[0] is[0] exquisite[0] especially[0] during[0] the[0] tense[-2] finale[0] in[0] which[0] the[0] director[0] frantically[-1] cross[-1] cuts[0] between[0] the[0] various[0] subplots[0] perhaps[0] in[0] homage[0] to[0] d[0] [[Sentence=-3,1=word max, 1-5]] w[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
griffith . 	griffith .	1	-1	 griffith[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cinematographer ernest dickerson , who has worked on all of spike lee's films , gives the laserman a distinctive , artistic look . 	cinematographer ernest dickerson , who has worked on all of spike lee's films , gives the laserman a distinctive , artistic look .	1	-1	 cinematographer[0] ernest[0] dickerson[0] who[0] has[0] worked[0] on[0] all[0] of[0] spike[0] lee's[0] films[0] gives[0] the[0] laserman[0] a[0] distinctive[0] artistic[0] look[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mason daring's score , which includes a send-up of bach , is right on target . 	mason daring's score , which includes a send-up of bach , is right on target .	1	-1	 mason[0] daring's[0] score[0] which[0] includes[0] a[0] send[0] up[0] of[0] bach[0] is[0] right[0] on[0] target[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the laserman is an ambitious endeavor , which is to be applauded , but it's sometimes ambitious to a fault . 	the laserman is an ambitious endeavor , which is to be applauded , but it's sometimes ambitious to a fault .	2	-2	 the[0] laserman[0] is[0] an[0] ambitious[0] endeavor[0] which[0] is[0] to[0] be[0] applauded[1] but[0] it's[0] sometimes[0] ambitious[0] to[0] a[0] fault[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
wang serves up so many slices of life in the film that it's hard to digest them all . 	wang serves up so many slices of life in the film that it's hard to digest them all .	1	-1	 wang[0] serves[0] up[0] so[0] many[0] slices[0] of[0] life[0] in[0] the[0] film[0] that[0] it's[0] hard[0] to[0] digest[0] them[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for instance , one character ( arthur's sister ) has negligible screen time , and consequently we just don't care about her marital problems . 	for instance , one character ( arthur's sister ) has negligible screen time , and consequently we just don't care about her marital problems .	1	-2	 for[0] instance[0] one[0] character[0] arthur's[0] sister[0] has[0] negligible[0] screen[0] time[0] and[0] consequently[0] we[0] just[0] don't[0] care[1][NegatedDueToPreviousWord] about[0] her[0] marital[0] problems[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in weaving his web , wang has included a few too many strands . 	in weaving his web , wang has included a few too many strands .	1	-1	 in[0] weaving[0] his[0] web[0] wang[0] has[0] included[0] a[0] few[0] too[0] many[0] strands[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
overall , however , the laserman is a charmingly eclectic concoction . 	overall , however , the laserman is a charmingly eclectic concoction .	2	-1	 overall[0] however[0] the[0] laserman[0] is[0] a[0] charmingly[1] eclectic[0] concoction[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
on the surface , the film is a light and bouncy comedy-thriller , overflowing with whimsical humor and visual style . 	on the surface , the film is a light and bouncy comedy-thriller , overflowing with whimsical humor and visual style .	3	-2	 on[0] the[0] surface[0] the[0] film[0] is[0] a[0] light[0] and[0] bouncy[0] comedy[0] thriller[1] overflowing[-1] with[0] whimsical[0] humor[2] and[0] visual[0] style[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the heavier issues emerge only when you take a deeper look at the film . 	the heavier issues emerge only when you take a deeper look at the film .	1	-1	 the[0] heavier[0] issues[0] emerge[0] only[0] when[0] you[0] take[0] a[0] deeper[0] look[0] at[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you can ponder the moral questions or you can just sit back and enjoy the absurdity of life in china town . 	you can ponder the moral questions or you can just sit back and enjoy the absurdity of life in china town .	3	-2	 you[0] can[0] ponder[0] the[0] moral[0] questions[0] or[0] you[0] can[0] just[0] sit[0] back[0] and[0] enjoy[2] the[0] absurdity[-1] of[0] life[0] in[0] china[0] town[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
