warning ! : may contain some mild spoilers and offensive material . 	Translation	Positive	Negative	EmotionRationale
trying to be like him he hangs upside down from a pole and accidentally pushes off the fishtank and burns his cabinets . 	trying to be like him he hangs upside down from a pole and accidentally pushes off the fishtank and burns his cabinets .	2	-2	 trying[0] to[0] be[0] like[1] him[0] he[0] hangs[0] upside[0] down[0] from[0] a[0] pole[0] and[0] accidentally[-1] pushes[0] off[0] the[0] fishtank[0] and[0] burns[-1] his[0] cabinets[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the thing is now he has to try and find  6 , 000 dollars in three weeks to make sure everything looks right again . 	the thing is now he has to try and find  6 , 00 dollars in three weeks to make sure everything looks right again .	1	-1	 the[0] thing[0] is[0] now[0] he[0] has[0] to[0] try[0] and[0] find[0] 6[0] 000/00[0] dollars[0] in[0] three[0] weeks[0] to[0] make[0] sure[0] everything[0] looks[0] right[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so he decides to go " man-whoring " and to his luck gets the oddest people on earth : an over-weight woman who decidedly wants to eat everything in site , a woman with narcolepsy who sleeps all the time , a woman who has sudden screaming outbursts , and a woman he can't stop thinking about . 	so he decides to go " man-whoring " and to his luck gets the oddest people on earth : an over-weight woman who decidedly wants to eat everything in site , a woman with narcolepsy who sleeps all the time , a woman who has sudden screaming outbursts , and a woman he can't stop thinking about .	3	-4	 so[0] he[0] decides[0] to[0] go[0] man[0] whoring[0] and[0] to[0] his[0] luck[2] gets[0] the[0] oddest[0] people[0] on[0] earth[0] an[0] over[0] weight[0] woman[0] who[0] decidedly[0] wants[0] to[0] eat[0] everything[0] in[0] site[0] a[0] woman[0] with[0] narcolepsy[0] who[0] sleeps[0] all[0] the[0] time[0] a[0] woman[0] who[0] has[0] sudden[0] screaming[-3] outbursts[-1] and[0] a[0] woman[0] he[0] can't[0] stop[0] thinking[0] about[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
he charges  10 but he is willing to negotiate . 	he charges  10 but he is willing to negotiate .	1	-2	 he[0] charges[-1] 10[0] but[0] he[0] is[0] willing[0] to[0] negotiate[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
from now on he is considered deuce bigalow : male gigolo . 	from now on he is considered deuce bigalow : male gigolo .	1	-1	 from[0] now[0] on[0] he[0] is[0] considered[0] deuce[0] bigalow[0] male[0] gigolo[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with non-stop laughs an a abundence of crude humor " deuce bigalow : male gigolo " is sometimes like last years hit " there's something about mary " that is offensive but very funny . 	with non-stop laughs an a abundence of crude humor " deuce bigalow : male gigolo " is sometimes like last years hit " there's something about mary " that is offensive but very funny .	3	-3	 with[0] non[0] stop[0] laughs[1] an[0] a[0] abundence[0] of[0] crude[-1] humor[2] deuce[0] bigalow[0] male[0] gigolo[0] is[0] sometimes[0] like[1][-1 LastWordBoosterStrength] last[0] years[0] hit[0] there's[0] something[0] about[0] mary[0] that[0] is[0] offensive[-2] but[0] very[0] funny[1][1 LastWordBoosterStrength] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the screenplay by harris goldberg and rob schneider himself is a smart , clever and witty screenplay that seems to have been written with care to make is so hilariously funny . 	the screenplay by harris goldberg and rob schneider himself is a smart , clever and witty screenplay that seems to have been written with care to make is so hilariously funny .	3	-1	 the[0] screenplay[0] by[0] harris[0] goldberg[0] and[0] rob[0] schneider[0] himself[0] is[0] a[0] smart[1] clever[0] and[0] witty[0] screenplay[0] that[0] seems[0] to[0] have[0] been[0] written[0] with[0] care[1] to[0] make[0] is[0] so[0] hilariously[2] funny[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the characters in the film are all actually likable especially " jabba lady " with her big body but soft heart . 	the characters in the film are all actually likable especially " jabba lady " with her big body but soft heart .	1	-1	 the[0] characters[0] in[0] the[0] film[0] are[0] all[0] actually[0] likable[0] especially[0] jabba[0] lady[0] with[0] her[0] big[0] body[0] but[0] soft[0] heart[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are actually times in the movie where i fell out of my chair laughing so hard that my stomach was killing me . 	there are actually times in the movie where i fell out of my chair laughing so hard that my stomach was killing me .	2	-2	 there[0] are[0] actually[0] times[0] in[0] the[0] movie[0] where[0] i[0] fell[0] out[0] of[0] my[0] chair[0] laughing[1] so[0] hard[0] that[0] my[0] stomach[0] was[0] killing[-1] me[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
even though i thought " toy story 2 " and " being john malkovich " were the funniest of the year " deuce bigalow " follows right behind them . 	even though i thought " toy story 2 " and " being john malkovich " were the funniest of the year " deuce bigalow " follows right behind them .	2	-1	 even[0] though[0] i[0] thought[0] toy[0] story[0] 2[0] and[0] being[0] john[0] malkovich[0] were[0] the[0] funniest[1] of[0] the[0] year[0] deuce[0] bigalow[0] follows[0] right[0] behind[0] them[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the directing by mike mitchell is fantastic and shows he took time on the film . 	the directing by mike mitchell is fantastic and shows he took time on the film .	3	-1	 the[0] directing[0] by[0] mike[0] mitchell[0] is[0] fantastic[2] and[0] shows[0] he[0] took[0] time[0] on[0] the[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
rob schneider gives a surprisingly endearing performance and when his romance develops with one of his customers kate ( arija bareikis ) it is a sweet romance that we get involved in and actually like being involved in it . 	rob schneider gives a surprisingly endearing performance and when his romance develops with one of his customers kate ( arija bareikis ) it is a sweet romance that we get involved in and actually like being involved in it .	4	-1	 rob[0] schneider[0] gives[0] a[0] surprisingly[0] endearing[0] performance[0] and[0] when[0] his[0] romance[3] develops[0] with[0] one[0] of[0] his[0] customers[0] kate[0] arija[0] bareikis[0] it[0] is[0] a[0] sweet[1] romance[3] that[0] we[0] get[0] involved[0] in[0] and[0] actually[0] like[1] being[0] involved[0] in[0] it[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
 " deuce bigalow " is a good-natured film worth all the merit it can get . 	 " deuce bigalow " is a good-natured film worth all the merit it can get .	2	-1	 deuce[0] bigalow[0] is[0] a[0] good[1] natured[0] film[0] worth[0] all[0] the[0] merit[1] it[0] can[0] get[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
its not a classic or a masterpiece , it's just a comedy that we don't feel bad about watching . 	its not a classic or a masterpiece , it's just a comedy that we don't feel bad about watching .	2	-1	 its[0] not[0] a[0] classic[0] or[0] a[0] masterpiece[0] it's[0] just[0] a[0] comedy[0] that[0] we[0] don't[0] feel[0] bad[-1][NegatedDueToPreviousWord] about[0] watching[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sure it may come off as offensive and may come off as dumb sometimes , but you cannot deny that it isn't funny . 	sure it may come off as offensive and may come off as dumb sometimes , but you cannot deny that it isn't funny .	2	-3	 sure[0] it[0] may[0] come[0] off[0] as[0] offensive[-2] and[0] may[0] come[0] off[0] as[0] dumb[-1] sometimes[0] but[0] you[0] cannot[0] deny[-1][NegatedDueToPreviousWord] that[0] it[0] isn't[0] funny[1][NegatedDueToPreviousWord] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 " deuce bigalow : male gigolo " is no disappointment . 	 " deuce bigalow : male gigolo " is no disappointment .	1	-2	 deuce[0] bigalow[0] male[0] gigolo[0] is[0] no[0] disappointment[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
its a fast paced , entertaining sweet and hilarious comedy that may be destined to become a cult classic . 	its a fast paced , entertaining sweet and hilarious comedy that may be destined to become a cult classic .	3	-1	 its[0] a[0] fast[0] paced[0] entertaining[0] sweet[1] and[0] hilarious[2] comedy[0] that[0] may[0] be[0] destined[0] to[0] become[0] a[0] cult[0] classic[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
fans of schneider will not be disappointed and fans of crude but nice comedies will not either . 	fans of schneider will not be disappointed and fans of crude but nice comedies will not either .	2	-2	 fans[0] of[0] schneider[0] will[0] not[0] be[0] disappointed[-1][NegatedDueToPreviousWord] and[0] fans[0] of[0] crude[-1] but[0] nice[1] comedies[0] will[0] not[0] either[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
for some reason the film garnered an r rating but with no " f words " or extensive use of sexual content or explicit nudity i was really wondering why the film was r . a mild r to put it to the least , but even if your under 17 or above at least 13 this film is good enough for you to see . 	for some reason the film garnered an are rating but with no " f words " or extensive use of sexual content or explicit nudity i was really wondering why the film was are .<br> a mild are to put it to the least , but even if your under 17 or above at least 13 this film is good enough for you to see .	2	-1	 for[0] some[0] reason[0] the[0] film[0] garnered[0] an[0] r[0] rating[0] but[0] with[0] no[0] f[0] words[0] or[0] extensive[0] use[0] of[0] sexual[0] content[0] or[0] explicit[0] nudity[0] i[0] was[0] really[0] wondering[0] why[0] the[0] film[0] was[0] r[0] [[Sentence=-1,1=word max, 1-5]] a[0] mild[0] r[0] to[0] put[0] it[0] to[0] the[0] least[0] but[0] even[0] if[0] your[0] under[0] 17[0] or[0] above[0] at[0] least[0] 13[0] this[0] film[0] is[0] good[1] enough[0] for[0] you[0] to[0] see[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
don't try to be one of those people who make so much of a film that they do not like it , just sit back , laugh and enjoy the movie . 	don't try to be one of those people who make so much of a film that they do not like it , just sit back , laugh and enjoy the movie .	3	-2	 don't[0] try[0] to[0] be[0] one[0] of[0] those[0] people[0] who[0] make[0] so[0] much[0] of[0] a[0] film[0] that[0] they[0] do[0] not[0] like[1][NegatedDueToPreviousWord] it[0] just[0] sit[0] back[0] laugh[1] and[0] enjoy[2] the[0] movie[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
