ok , i admit i had a bad attitude about this film from the start . 	Translation	Positive	Negative	EmotionRationale
will pfeiffer realize what a jerk her ex-husband , a drummer for bruce springsteen , really is ( aren't they all ? ) ? 	will pfeiffer realize what a jerk her ex-husband , a drummer for bruce springsteen , really is ( aren't they all ?<br> ) ?	1	-3	 will[0] pfeiffer[0] realize[0] what[0] a[0] jerk[-2] her[0] ex[0] husband[0] a[0] drummer[0] for[0] bruce[0] springsteen[0] really[0] is[0] aren't[0] they[0] all[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
will they finally kiss ? 	will they finally kiss ?	3	-1	 will[0] they[0] finally[0] kiss[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
well , what do you expect ? 	well , what do you expect ?	1	-1	 well[0] what[0] do[0] you[0] expect[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but there is a certain amount of satisfaction in having our expectations fulfilled , especially when it is done with as much humour , along with a lack of sticky sentimentality , as it is in this film . 	but there is a certain amount of satisfaction in having our expectations fulfilled , especially when it is done with as much humour , along with a lack of sticky sentimentality , as it is in this film .	3	-2	 but[0] there[0] is[0] a[0] certain[0] amount[0] of[0] satisfaction[1] in[0] having[0] our[0] expectations[0] fulfilled[0] especially[0] when[0] it[0] is[0] done[0] with[0] as[0] much[0] humour[2] along[0] with[0] a[0] lack[-1] of[0] sticky[0] sentimentality[2] as[0] it[0] is[0] in[0] this[0] film[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
pfeiffer and clooney have a certain chemistry together that is surprisingly charming , and the kids are neither shoved into the background nor allowed to steal the show . 	pfeiffer and clooney have a certain chemistry together that is surprisingly charming , and the kids are neither shoved into the background nor allowed to steal the show .	2	-3	 pfeiffer[0] and[0] clooney[0] have[0] a[0] certain[0] chemistry[0] together[0] that[0] is[0] surprisingly[0] charming[1] and[0] the[0] kids[0] are[0] neither[0] shoved[0] into[0] the[0] background[0] nor[0] allowed[0] to[0] steal[-2] the[0] show[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
one word of caution , though . 	one word of caution , though .	1	-1	 one[0] word[0] of[0] caution[0] though[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this film is being billed in some places as a " family " movie . 	this film is being billed in some places as a " family " movie .	1	-1	 this[0] film[0] is[0] being[0] billed[0] in[0] some[0] places[0] as[0] a[0] family[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
don't let that stop you . 	don't let that stop you .	1	-1	 don't[0] let[0] that[0] stop[0] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , i think most kids , especially boys , would be pretty bored by this move . 	however , i think most kids , especially boys , would be pretty bored by this move .	3	-2	 however[0] i[0] think[0] most[0] kids[0] especially[0] boys[0] would[0] be[0] pretty[2] bored[-1] by[0] this[0] move[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
after all , nobody gets killed and there are no explosions . 	after all , nobody gets killed and there are no explosions .	1	-4	 after[0] all[0] nobody[0] gets[0] killed[-3] and[0] there[0] are[0] no[0] explosions[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
all in all , a good , non-offensive date movie . 	all in all , a good , non-offensive date movie .	2	-3	 all[0] in[0] all[0] a[0] good[1] non[0] offensive[-2] date[0] movie[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the flying inkpot rating system : * wait for the tv2 broadcast . 	the flying inkpot rating system : * wait for the tv2 broadcast .	1	-1	 the[0] flying[0] inkpot[0] rating[0] system[0] wait[0] for[0] the[0] tv2[0] broadcast[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 * * a little creaky , but still better than staying at home with gotcha ! 	 * * a little creaky , but still better than staying at home with gotcha !	1	-1	 a[0] little[0] creaky[0] but[0] still[0] better[0] than[0] staying[0] at[0] home[0] with[0] gotcha[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 * * * pretty good , bring a friend . 	 * * * pretty good , bring a friend .	3	-1	 pretty[2] good[1] bring[0] a[0] friend[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 * * * * amazing , potent stuff . 	 * * * * amazing , potent stuff .	3	-1	 amazing[2] potent[0] stuff[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 * * * * * perfection . 	 * * * * * perfection .	2	-1	 perfection[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
see it twice . 	see it twice .	1	-1	 see[0] it[0] twice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
