finding the courage to face life full-on is a difficult task . 	Translation	Positive	Negative	EmotionRationale
when we first meet him , he's busy dumping a neighbor's dog down the garbage chute . 	when we first meet him , he's busy dumping a neighbor's dog down the garbage chute .	1	-3	 when[0] we[0] first[0] meet[0] him[0] he's[0] busy[0] dumping[-1] a[0] neighbor's[0] dog[0] down[0] the[0] garbage[-2] chute[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he's an equal opportunity bigot . 	he's an equal opportunity bigot .	1	-2	 he's[0] an[0] equal[0] opportunity[0] bigot[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he does venture outside his apartment every day to eat breakfast at a local cafe . 	he does venture outside his apartment every day to eat breakfast at a local cafe .	1	-1	 he[0] does[0] venture[0] outside[0] his[0] apartment[0] every[0] day[0] to[0] eat[0] breakfast[0] at[0] a[0] local[0] cafe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
melvin is such a grouchy curmudgeon that waitress carol connelly ( helen hunt ) is the only one willing to wait on him . 	melvin is such a grouchy curmudgeon that waitress carol connelly ( helen hunt ) is the only one willing to wait on him .	1	-2	 melvin[0] is[0] such[0] a[0] grouchy[-1] curmudgeon[0] that[0] waitress[0] carol[0] connelly[0] helen[0] hunt[0] is[0] the[0] only[0] one[0] willing[0] to[0] wait[0] on[0] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and she's none too happy about it . 	and she's none too happy about it .	2	-1	 and[0] she's[0] none[0] too[0] happy[1] about[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when carol doesn't show up for work , melvin's routine is shot and he's determined to do something about it . 	when carol doesn't show up for work , melvin's routine is shot and he's determined to do something about it .	1	-2	 when[0] carol[0] doesn't[0] show[0] up[0] for[0] work[0] melvin's[0] routine[0] is[0] shot[-1] and[0] he's[0] determined[0] to[0] do[0] something[0] about[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
tracking down her address , he shows up at her place begging her to come back to work so that he can eat breakfast . 	tracking down her address , he shows up at her place begging her to come back to work so that he can eat breakfast .	1	-1	 tracking[0] down[0] her[0] address[0] he[0] shows[0] up[0] at[0] her[0] place[0] begging[0] her[0] to[0] come[0] back[0] to[0] work[0] so[0] that[0] he[0] can[0] eat[0] breakfast[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the fact that she's a poor single mother caring for a chronically ill son doesn't appear to phase him , he wants his food . 	the fact that she's a poor single mother caring for a chronically ill son doesn't appear to phase him , he wants his food .	3	-2	 the[0] fact[0] that[0] she's[0] a[0] poor[-1] single[0] mother[0] caring[2] for[0] a[0] chronically[0] ill[-1] son[0] doesn't[0] appear[0] to[0] phase[0] him[0] he[0] wants[0] his[0] food[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
much more upsetting is that his gay artist neighbor simon bishop ( greg kinnear ) is brutally attacked during a robbery . 	much more upsetting is that his gay artist neighbor simon bishop ( greg kinnear ) is brutally attacked during a robbery .	1	-4	 much[0] more[0] upsetting[-2] is[0] that[0] his[0] gay[-1] artist[0] neighbor[0] simon[0] bishop[0] greg[0] kinnear[0] is[0] brutally[-2] attacked[-2][-1 MultiplePositiveWords] during[0] a[0] robbery[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this doesn't upset melvin much ( " don't worry , you'll be back on your knees in no time " ) but when he is bullied into taking care of simon's dog , his life is turned topsy-turvey . 	this doesn't upset melvin much ( " don't worry , you'll be back on your knees in no time " ) but when he is bullied into taking care of simon's dog , his life is turned topsy-turvey .	4	-3	 this[0] doesn't[0] upset[-2] melvin[0] much[0] don't[0] worry[-3][NegatedDueToPreviousWord] you'll[0] be[0] back[0] on[0] your[0] knees[0] in[0] no[0] time[0] but[0] when[0] he[0] is[0] bullied[0] into[0] taking[0] care[1] of[0] simon's[0] dog[0] his[0] life[0] is[0] turned[0] topsy[0] turvey[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
melvin is sequestered because he's afraid of what's out there on the other side of his apartment door . 	melvin is sequestered because he's afraid of what's out there on the other side of his apartment door .	1	-4	 melvin[0] is[0] sequestered[-1] because[0] he's[0] afraid[-3] of[0] what's[0] out[0] there[0] on[0] the[0] other[0] side[0] of[0] his[0] apartment[0] door[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he has to make sure it's ritualistically locked three times to keep the world on its proper side . 	he has to make sure it's ritualistically locked three times to keep the world on its proper side .	1	-1	 he[0] has[0] to[0] make[0] sure[0] it's[0] ritualistically[0] locked[0] three[0] times[0] to[0] keep[0] the[0] world[0] on[0] its[0] proper[0] side[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when he brings the dog home he reluctantly grows fond of it , talking to it and taking it everywhere he goes . 	when he brings the dog home he reluctantly grows fond of it , talking to it and taking it everywhere he goes .	3	-2	 when[0] he[0] brings[0] the[0] dog[0] home[0] he[0] reluctantly[-1] grows[0] fond[2] of[0] it[0] talking[0] to[0] it[0] and[0] taking[0] it[0] everywhere[0] he[0] goes[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
this little crack in his emotional armor opens him up . 	this little crack in his emotional armor opens him up .	1	-2	 this[0] little[0] crack[0] in[0] his[0] emotional[-1] armor[0] opens[0] him[0] up[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
hiding behind his need for carol to return to work so she can serve him , he pays for a specialist to treat her son . 	hiding behind his need for carol to return to work so she can serve him , he pays for a specialist to treat her son .	2	-1	 hiding[0] behind[0] his[0] need[0] for[0] carol[0] to[0] return[0] to[0] work[0] so[0] she[0] can[0] serve[0] him[0] he[0] pays[0] for[0] a[0] specialist[1] to[0] treat[1] her[0] son[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he even develops a friendship with simon . 	he even develops a friendship with simon .	2	-1	 he[0] even[0] develops[0] a[0] friendship[1] with[0] simon[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
all three people are heavily damaged . 	all three people are heavily damaged .	1	-1	 all[0] three[0] people[0] are[0] heavily[0] damaged[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
melvin has retreated from life in his apartment . 	melvin has retreated from life in his apartment .	1	-2	 melvin[0] has[0] retreated[-1] from[0] life[0] in[0] his[0] apartment[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
carol has devoted herself to her son , convinced that she has to give up her life for him . 	carol has devoted herself to her son , convinced that she has to give up her life for him .	3	-1	 carol[0] has[0] devoted[2] herself[0] to[0] her[0] son[0] convinced[0] that[0] she[0] has[0] to[0] give[0] up[0] her[0] life[0] for[0] him[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
simon is estranged from his parents and his friends disappear when he is hospitalized and his money runs out . 	simon is estranged from his parents and his friends disappear when he is hospitalized and his money runs out .	2	-2	 simon[0] is[0] estranged[-1] from[0] his[0] parents[0] and[0] his[0] friends[1] disappear[0] when[0] he[0] is[0] hospitalized[0] and[0] his[0] money[0] runs[0] out[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
a more unlikely trio to form relationships , you'd rarely see . 	a more unlikely trio to form relationships , you'd rarely see .	1	-1	 a[0] more[0] unlikely[0] trio[0] to[0] form[0] relationships[0] you'd[0] rarely[0] see[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and in the midst of it all , there are some wonderful moments . 	and in the midst of it all , there are some wonderful moments .	2	-1	 and[0] in[0] the[0] midst[0] of[0] it[0] all[0] there[0] are[0] some[0] wonderful[2][-1 LastWordBoosterStrength] moments[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
melvin is hilarious in his grouchiness and touching as he attempts to be nice . 	melvin is hilarious in his grouchiness and touching as he attempts to be nice .	3	-2	 melvin[0] is[0] hilarious[2] in[0] his[0] grouchiness[-1] and[0] touching[0] as[0] he[0] attempts[0] to[0] be[0] nice[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
 " you make me want to be a better man , " he tells her . 	 " you make me want to be a better man , " he tells her .	1	-1	 you[0] make[0] me[0] want[0] to[0] be[0] a[0] better[0] man[0] he[0] tells[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one of the best aspects is that even as he opens up , he is still a curmudgeon . 	one of the best aspects is that even as he opens up , he is still a curmudgeon .	2	-1	 one[0] of[0] the[0] best[1] aspects[0] is[0] that[0] even[0] as[0] he[0] opens[0] up[0] he[0] is[0] still[0] a[0] curmudgeon[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
carol , afraid that his monetary contribution to the wellness of her son hides a hidden agenda rushes over to his apartment in the rain to explain in no uncertain terms that she will never sleep with him . 	carol , afraid that his monetary contribution to the wellness of her son hides a hidden agenda rushes over to his apartment in the rain to explain in no uncertain terms that she will never sleep with him .	2	-4	 carol[0] afraid[-3] that[0] his[0] monetary[0] contribution[0] to[0] the[0] wellness[1] of[0] her[0] son[0] hides[0] a[0] hidden[0] agenda[0] rushes[0] over[0] to[0] his[0] apartment[0] in[0] the[0] rain[0] to[0] explain[0] in[0] no[0] uncertain[0] terms[0] that[0] she[0] will[0] never[0] sleep[0] with[0] him[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it only takes her a second to realize that she is delivering that statement while looking as if she just left a wet t-shirt contest . 	it only takes her a second to realize that she is delivering that statement while looking as if she just left a wet t-shirt contest .	1	-1	 it[0] only[0] takes[0] her[0] a[0] second[0] to[0] realize[0] that[0] she[0] is[0] delivering[0] that[0] statement[0] while[0] looking[0] as[0] if[0] she[0] just[0] left[0] a[0] wet[0] t[0] shirt[0] contest[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's hardly anything left to say about jack nicholson . 	there's hardly anything left to say about jack nicholson .	1	-1	 there's[0] hardly[0] anything[0] left[0] to[0] say[0] about[0] jack[0] nicholson[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i don't remember ever seeing him in anything less than a stellar performance and his over-the-edge melvin is no disappointment . 	i don't remember ever seeing him in anything less than a stellar performance and his over-the-edge melvin is no disappointment .	1	-2	 i[0] don't[0] remember[0] ever[0] seeing[0] him[0] in[0] anything[0] less[0] than[0] a[0] stellar[0] performance[0] and[0] his[0] over[0] the[0] edge[0] melvin[0] is[0] no[0] disappointment[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
nicholson may be the best actor working today . 	nicholson may be the best actor working today .	2	-1	 nicholson[0] may[0] be[0] the[0] best[1] actor[0] working[0] today[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
hunt does a commendable job matching nicholson's energy . 	hunt does a commendable job matching nicholson's energy .	1	-1	 hunt[0] does[0] a[0] commendable[0] job[0] matching[0] nicholson's[0] energy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she isn't afraid to be seen as something less than a babe and her portrayal of exhausted run-down carol struggling with seemingly overwhelming obligations is top-notch . 	she isn't afraid to be seen as something less than a babe and her portrayal of exhausted run-down carol struggling with seemingly overwhelming obligations is top-notch .	4	-3	 she[0] isn't[0] afraid[-3][NegatedDueToPreviousWord] to[0] be[0] seen[0] as[0] something[0] less[0] than[0] a[0] babe[0] and[0] her[0] portrayal[0] of[0] exhausted[-1] run[0] down[0] carol[0] struggling[-1] with[0] seemingly[0] overwhelming[-2] obligations[0] is[0] top[0] notch[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
their on-screen chemistry is a bit odd . 	their on-screen chemistry is a bit odd .	1	-1	 their[0] on[0] screen[0] chemistry[0] is[0] a[0] bit[0] odd[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
each does a wonderful job with the character , but together , there's something a little off . 	each does a wonderful job with the character , but together , there's something a little off .	3	-1	 each[0] does[0] a[0] wonderful[2] job[0] with[0] the[0] character[0] but[0] together[0] there's[0] something[0] a[0] little[0] off[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's a minor problem : they do work well together , but that missing element is what prevents this from being a four-star film . 	it's a minor problem : they do work well together , but that missing element is what prevents this from being a four-star film .	1	-2	 it's[0] a[0] minor[0] problem[-1] they[0] do[0] work[0] well[0] together[0] but[0] that[0] missing[0] element[0] is[0] what[0] prevents[0] this[0] from[0] being[0] a[0] four[0] star[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
director james l . brooks ( " terms of endearment " , " broadcast news " ) has a movie that is picking up awards by the bucketsful ( nominees for all the top golden globes , winners from the national board of review , inevitable oscars ) and has a winner on his hands . 	director james l .<br> brooks ( " terms of endearment " , " broadcast news " ) has a movie that is picking up awards by the bucketsful ( nominees for all the top golden globes , winners from the national board of review , inevitable oscars ) and has a winner on his hands .	2	-1	 director[0] james[0] l[0] [[Sentence=-1,1=word max, 1-5]] brooks[0] terms[0] of[0] endearment[0] broadcast[0] news[0] has[0] a[0] movie[0] that[0] is[0] picking[0] up[0] awards[0] by[0] the[0] bucketsful[0] nominees[0] for[0] all[0] the[0] top[0] golden[0] globes[0] winners[1] from[0] the[0] national[0] board[0] of[0] review[0] inevitable[0] oscars[0] and[0] has[0] a[0] winner[1] on[0] his[0] hands[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " as good as it gets " isn't exactly the quality that the title says , but it's pretty darn close . 	 " as good as it gets " isn't exactly the quality that the title says , but it's pretty darn close .	3	-2	 as[0] good[1] as[0] it[0] gets[0] isn't[0] exactly[0] the[0] quality[0] that[0] the[0] title[0] says[0] but[0] it's[0] pretty[2] darn[-1] close[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
 ( michael redman has written this column for over 22 years and as soon as he finishes this one , he's off to an annual 12 night celebration typically held in freezing weather during a snowstorm . 	 ( michael redman has written this column for over 22 years and as soon as he finishes this one , he's off to an annual 12 night celebration typically held in freezing weather during a snowstorm .	2	-1	 michael[0] redman[0] has[0] written[0] this[0] column[0] for[0] over[0] 22[0] years[0] and[0] as[0] soon[0] as[0] he[0] finishes[0] this[0] one[0] he's[0] off[0] to[0] an[0] annual[0] 12[0] night[0] celebration[1] typically[0] held[0] in[0] freezing[0] weather[0] during[0] a[0] snowstorm[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this year it's in the sixties and raining . 	this year it's in the sixties and raining .	1	-1	 this[0] year[0] it's[0] in[0] the[0] sixties[0] and[0] raining[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that wacky el nino . ) 	that wacky el nino .<br> )	1	-1	 that[0] wacky[0] el[0] nino[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
