the premise of wag the dog is so simple that it's adequately explained by the commercials . 	Translation	Positive	Negative	EmotionRationale
the beauty of wag the dog is that it isn't a light , meaningless comedy about politics ( like speechless , the michael keaton - geena davis picture ) or from the level of light-hearted politcal satire to near-greatness . 	the beauty of wag the dog is that it isn't a light , meaningless comedy about politics ( like speechless , the michael keaton - geena davis picture ) or from the level of light-hearted politcal satire to near-greatness .	3	-2	 the[0] beauty[2] of[0] wag[0] the[0] dog[0] is[0] that[0] it[0] isn't[0] a[0] light[0] meaningless[-1] comedy[0] about[0] politics[0] like[1] speechless[0] the[0] michael[0] keaton[0] geena[0] davis[0] picture[0] or[0] from[0] the[0] level[0] of[0] light[0] hearted[0] politcal[0] satire[0] to[0] near[0] greatness[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
nor is it a hard-edged cynical look at the manner in which a morally-deprived , ethically challenged baby-boomer connives his sleazy way into the white house ( like primary colors -- and yes , i am a little disappointed in the way the last two elections turned out , thanks for asking ) . 	nor is it a hard-edged cynical look at the manner in which a morally-deprived , ethically challenged baby-boomer connives his sleazy way into the white house ( like primary colors - and yes , i am a little disappointed in the way the last two elections turned out , thanks for asking ) .	2	-3	 nor[0] is[0] it[0] a[0] hard[0] edged[0] cynical[-1] look[0] at[0] the[0] manner[0] in[0] which[0] a[0] morally[0] deprived[-1] ethically[0] challenged[-1] baby[1] boomer[0] connives[0] his[0] sleazy[-2] way[0] into[0] the[0] white[0] house[0] like[1] primary[0] colors[0] and[0] yes[0] i[0] am[0] a[0] little[0] disappointed[-1] in[0] the[0] way[0] the[0] last[0] two[0] elections[0] turned[0] out[0] thanks[1] for[0] asking[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
instead , david mamet's script strikes that delicate balance between comedy and cynicism needed for satire . 	instead , david mamet's script strikes that delicate balance between comedy and cynicism needed for satire .	1	-2	 instead[0] david[0] mamet's[0] script[0] strikes[0] that[0] delicate[0] balance[0] between[0] comedy[0] and[0] cynicism[-1] needed[0] for[0] satire[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it does this by keeping us in a fantasy world where most of the schemers' schemes come off beautifully , and fail only in entertaining and humorous fashion . 	it does this by keeping us in a fantasy world where most of the schemers' schemes come off beautifully , and fail only in entertaining and humorous fashion .	3	-3	 it[0] does[0] this[0] by[0] keeping[0] us[0] in[0] a[0] fantasy[0] world[0] where[0] most[0] of[0] the[0] schemers'[0] schemes[0] come[0] off[0] beautifully[2] and[0] fail[-2] only[0] in[0] entertaining[0] and[0] humorous[2] fashion[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
deniro is playing a variation on his al capone character from the untouchables , without any of the violent rages . 	deniro is playing a variation on his al capone character from the untouchables , without any of the violent rages .	2	-5	 deniro[0] is[0] playing[1] a[0] variation[0] on[0] his[0] al[0] capone[0] character[0] from[0] the[0] untouchables[0] without[0] any[0] of[0] the[0] violent[-2] rages[-3][-1 MultiplePositiveWords] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
it's all : " what do i love ? 	it's all : " what do i love ?	3	-1	 it's[0] all[0] what[0] do[0] i[0] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
what is it that brings me joy ? 	what is it that brings me joy ?	3	-1	 what[0] is[0] it[0] that[0] brings[0] me[0] joy[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
baseball , " minus the savage bloody beating with the bat . 	baseball , " minus the savage bloody beating with the bat .	1	-3	 baseball[0] minus[0] the[0] savage[-2] bloody[-1] beating[0] with[0] the[0] bat[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he threatens a lot of people , mind you , but he's doing it in a very nice , polite way . 	he threatens a lot of people , mind you , but he's doing it in a very nice , polite way .	3	-3	 he[0] threatens[-2] a[0] lot[0] of[0] people[0] mind[0] you[0] but[0] he's[0] doing[0] it[0] in[0] a[0] very[0] nice[1][1 LastWordBoosterStrength] polite[0] way[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
it's a very mellow , restrained performance , which fits in with the air of gamesmanship in the script . 	it's a very mellow , restrained performance , which fits in with the air of gamesmanship in the script .	1	-1	 it's[0] a[0] very[0] mellow[0] restrained[0] performance[0] which[0] fits[0] in[0] with[0] the[0] air[0] of[0] gamesmanship[0] in[0] the[0] script[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hoffman , on the other hand , is giddy , exuberant and joyous . 	hoffman , on the other hand , is giddy , exuberant and joyous .	3	-1	 hoffman[0] on[0] the[0] other[0] hand[0] is[0] giddy[0] exuberant[2] and[0] joyous[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this kind of thing is what his character lives for , and he's so excited that he can't even shut up . 	this kind of thing is what his character lives for , and he's so excited that he can't even shut up .	3	-1	 this[0] kind[1] of[0] thing[0] is[0] what[0] his[0] character[0] lives[0] for[0] and[0] he's[0] so[0] excited[2] that[0] he[0] can't[0] even[0] shut[0] up[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
even on the edge of disaster , he's bright-eyed ( behind oddly tinted sunglasses ) and positive . 	even on the edge of disaster , he's bright-eyed ( behind oddly tinted sunglasses ) and positive .	3	-2	 even[0] on[0] the[0] edge[0] of[0] disaster[-1] he's[0] bright[0] eyed[0] behind[0] oddly[0] tinted[0] sunglasses[0] and[0] positive[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
insiders note that he's basing his character on some powerful-but-anonymous producer -- which may or may not be true , but hoffman still exudes the kind of lets-put-on-a-show electricity that you figure a producer needs to have . 	insiders note that he's basing his character on some powerful-but-anonymous producer - which may or may not be true , but hoffman still exudes the kind of lets-put-on-a-show electricity that you figure a producer needs to have .	2	-2	 insiders[0] note[0] that[0] he's[0] basing[0] his[0] character[0] on[0] some[0] powerful[0] but[0] anonymous[0] producer[0] which[0] may[0] or[0] may[0] not[0] be[0] true[1][NegatedDueToPreviousWord] but[0] hoffman[0] still[0] exudes[0] the[0] kind[1] of[0] lets[0] put[0] on[0] a[0] show[0] electricity[0] that[0] you[0] figure[0] a[0] producer[0] needs[0] to[0] have[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the best part and the most frustrating part of wag the dog is in the supporting cast . 	the best part and the most frustrating part of wag the dog is in the supporting cast .	2	-3	 the[0] best[1] part[0] and[0] the[0] most[0] frustrating[-2] part[0] of[0] wag[0] the[0] dog[0] is[0] in[0] the[0] supporting[1] cast[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the characters are so well drawn and so well acted that we want to see more of them , listen to them talk in that wised-up mamet dialogue , get to know them better -- which we don't . 	the characters are so well drawn and so well acted that we want to see more of them , listen to them talk in that wised-up mamet dialogue , get to know them better - which we don't .	1	-1	 the[0] characters[0] are[0] so[0] well[0] drawn[0] and[0] so[0] well[0] acted[0] that[0] we[0] want[0] to[0] see[0] more[0] of[0] them[0] listen[0] to[0] them[0] talk[0] in[0] that[0] wised[0] up[0] mamet[0] dialogue[0] get[0] to[0] know[0] them[0] better[0] which[0] we[0] don't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
anne heche , is dead-bang-on in her portrayal of a political press aide -- cool and composed on the outside , panicked and frenzied on the outside . 	anne heche , is dead-bang-on in her portrayal of a political press aide - cool and composed on the outside , panicked and frenzied on the outside .	2	-3	 anne[0] heche[0] is[0] dead[-2] bang[0] on[0] in[0] her[0] portrayal[0] of[0] a[0] political[0] press[0] aide[0] cool[1] and[0] composed[0] on[0] the[0] outside[0] panicked[-2] and[0] frenzied[0] on[0] the[0] outside[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
denis leary ( one of my favorite actors -- see the ref ) is the " fad king " , who handles the profitable " back-end " -- t-shirt tie ins and shoe contracts and other creative , innovative ways to separate a fool from his money . 	denis leary ( one of my favorite actors - see the ref ) is the " fad king " , who handles the profitable " back-end " - t-shirt tie ins and shoe contracts and other creative , innovative ways to separate a fool from his money .	2	-2	 denis[0] leary[0] one[0] of[0] my[0] favorite[1] actors[0] see[0] the[0] ref[0] is[0] the[0] fad[0] king[0] who[0] handles[0] the[0] profitable[1] back[0] end[0] t[0] shirt[0] tie[0] ins[0] and[0] shoe[0] contracts[0] and[0] other[0] creative[0] innovative[0] ways[0] to[0] separate[0] a[0] fool[-1] from[0] his[0] money[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
they could make a whole movie , just about the fad king , and i'd go see it . 	they could make a whole movie , just about the fad king , and i'd go see it .	1	-1	 they[0] could[0] make[0] a[0] whole[0] movie[0] just[0] about[0] the[0] fad[0] king[0] and[0] i'd[0] go[0] see[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
willie nelson and merle haggard handle the musical end of things fabulously , from the upbeat gospel chorus theme song , to the weepy country waltz , to the hilarious " ballad of the green berets " parody . 	willie nelson and merle haggard handle the musical end of things fabulously , from the upbeat gospel chorus theme song , to the weepy country waltz , to the hilarious " ballad of the green berets " parody .	3	-3	 willie[0] nelson[0] and[0] merle[0] haggard[-1] handle[0] the[0] musical[0] end[0] of[0] things[0] fabulously[2] from[0] the[0] upbeat[1] gospel[0] chorus[0] theme[0] song[0] to[0] the[0] weepy[-2] country[0] waltz[0] to[0] the[0] hilarious[2] ballad[0] of[0] the[0] green[0] berets[0] parody[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
woody harrelson has a brief , but memorable part as the overmedicated " hero " of the albanian conflict . 	woody harrelson has a brief , but memorable part as the overmedicated " hero " of the albanian conflict .	3	-2	 woody[0] harrelson[0] has[0] a[0] brief[0] but[0] memorable[0] part[0] as[0] the[0] overmedicated[0] hero[2] of[0] the[0] albanian[0] conflict[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
craig t . nelson , as the opposition candidate , and the ever-reliable william h . macy , as a wacky cia agent , are given surprisingly short shrift . 	craig t .<br> nelson , as the opposition candidate , and the ever-reliable william h .<br> macy , as a wacky cia agent , are given surprisingly short shrift .	1	-2	 craig[0] t[0] [[Sentence=-1,1=word max, 1-5]] nelson[0] as[0] the[0] opposition[-1] candidate[0] and[0] the[0] ever[0] reliable[0] william[0] h[0] [[Sentence=-2,1=word max, 1-5]] macy[0] as[0] a[0] wacky[0] cia[0] agent[0] are[0] given[0] surprisingly[0] short[0] shrift[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( one of my small gripes is that we never see what the spin doctors on the other side are doing . ) 	 ( one of my small gripes is that we never see what the spin doctors on the other side are doing .<br> )	1	-1	 one[0] of[0] my[0] small[0] gripes[0] is[0] that[0] we[0] never[0] see[0] what[0] the[0] spin[0] doctors[0] on[0] the[0] other[0] side[0] are[0] doing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wag the dog is a funny movie about serious problems : the trivialization of american politics , the role of the press in dumbing down the issues , the impact of hollywood in creating campaign commercials , the reduction of all things political to soundbites and sidebars -- the list goes on . 	wag the dog is a funny movie about serious problems : the trivialization of american politics , the role of the press in dumbing down the issues , the impact of hollywood in creating campaign commercials , the reduction of all things political to soundbites and sidebars - the list goes on .	2	-2	 wag[0] the[0] dog[0] is[0] a[0] funny[1] movie[0] about[0] serious[-1] problems[-1] the[0] trivialization[-1] of[0] american[0] politics[0] the[0] role[0] of[0] the[0] press[0] in[0] dumbing[-1] down[0] the[0] issues[0] the[0] impact[0] of[0] hollywood[0] in[0] creating[0] campaign[0] commercials[0] the[0] reduction[0] of[0] all[0] things[0] political[0] to[0] soundbites[0] and[0] sidebars[0] the[0] list[0] goes[0] on[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
we can solve most of these problems by taking a greater role in our national life and educating ourselves as voters and citizens . 	we can solve most of these problems by taking a greater role in our national life and educating ourselves as voters and citizens .	3	-2	 we[0] can[0] solve[0] most[0] of[0] these[0] problems[-1] by[0] taking[0] a[0] greater[2] role[0] in[0] our[0] national[0] life[0] and[0] educating[0] ourselves[0] as[0] voters[0] and[0] citizens[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
wag the dog reminds us of what can happen if we don't . 	wag the dog reminds us of what can happen if we don't .	1	-1	 wag[0] the[0] dog[0] reminds[0] us[0] of[0] what[0] can[0] happen[0] if[0] we[0] don't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
