hollywood is a pimp . 	Translation	Positive	Negative	EmotionRationale
demented's crewmembers are maimed and killed , popcorn machines are used for target practice , and no one can have sex until the film is complete . 	demented's crewmembers are maimed and killed , popcorn machines are used for target practice , and no one can have sex until the film is complete .	1	-4	 demented's[0] crewmembers[0] are[0] maimed[0] and[0] killed[-3] popcorn[0] machines[0] are[0] used[0] for[0] target[0] practice[0] and[0] no[0] one[0] can[0] have[0] sex[0] until[0] the[0] film[0] is[0] complete[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it's like bowfinger , only , you know , good . 	it's like bowfinger , only , you know , good .	2	-1	 it's[0] like[1] bowfinger[0] only[0] you[0] know[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film moves with zigs and zags like the magic bullet of kennedy's assassination . 	the film moves with zigs and zags like the magic bullet of kennedy's assassination .	2	-3	 the[0] film[0] moves[0] with[0] zigs[0] and[0] zags[0] like[1] the[0] magic[0] bullet[-1] of[0] kennedy's[0] assassination[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the zeal of demented's cause catches quickly and conveys the urgent message of " doing something , anything , for the accomplishment of artistic motivations . " 	the zeal of demented's cause catches quickly and conveys the urgent message of " doing something , anything , for the accomplishment of artistic motivations .<br> "	2	-1	 the[0] zeal[0] of[0] demented's[0] cause[0] catches[0] quickly[0] and[0] conveys[0] the[0] urgent[0] message[0] of[0] doing[0] something[0] anything[0] for[0] the[0] accomplishment[1] of[0] artistic[0] motivations[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the crewmembers all hold the quirkiness common in water's previous films - pink flamingos , hairspray , polyester , pecker -- and speak in the choppy , jaded dialogue used frequently by waters . 	the crewmembers all hold the quirkiness common in water's previous films - pink flamingos , hairspray , polyester , pecker - and speak in the choppy , jaded dialogue used frequently by waters .	1	-3	 the[0] crewmembers[0] all[0] hold[0] the[0] quirkiness[0] common[0] in[0] water's[0] previous[0] films[0] pink[0] flamingos[0] hairspray[0] polyester[0] pecker[0] and[0] speak[0] in[0] the[0] choppy[0] jaded[-2] dialogue[0] used[0] frequently[0] by[0] waters[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it is as if water's script strips away the unnecessary dialogue common to most pretentious indie films and just delivers the goods . 	it is as if water's script strips away the unnecessary dialogue common to most pretentious indie films and just delivers the goods .	1	-2	 it[0] is[0] as[0] if[0] water's[0] script[0] strips[0] away[0] the[0] unnecessary[-1] dialogue[0] common[0] to[0] most[0] pretentious[-1] indie[0] films[0] and[0] just[0] delivers[0] the[0] goods[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
cecil takes such warped avenues of expression that it seems like it might actually outdo itself . 	cecil takes such warped avenues of expression that it seems like it might actually outdo itself .	2	-2	 cecil[0] takes[0] such[0] warped[-1] avenues[0] of[0] expression[0] that[0] it[0] seems[0] like[1] it[0] might[0] actually[0] outdo[0] itself[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
you can see how a major studio might take this film , re-edit it , cut a deal with the remaining crew members who are still alive , and make a few sequels , a la the blair witch project . 	you can see how a major studio might take this film , re-edit it , cut a deal with the remaining crew members who are still alive , and make a few sequels , a la the blair witch project .	1	-1	 you[0] can[0] see[0] how[0] a[0] major[0] studio[0] might[0] take[0] this[0] film[0] re[0] edit[0] it[0] cut[0] a[0] deal[0] with[0] the[0] remaining[0] crew[0] members[0] who[0] are[0] still[0] alive[0] and[0] make[0] a[0] few[0] sequels[0] a[0] la[0] the[0] blair[0] witch[0] project[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but that's for the future . 	but that's for the future .	1	-1	 but[0] that's[0] for[0] the[0] future[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
overall , the ride is fantastic ; it's one of water's best films to date and this year's fight club for filmmakers . 	overall , the ride is fantastic ; it's one of water's best films to date and this year's fight club for filmmakers .	3	-3	 overall[0] the[0] ride[0] is[0] fantastic[2] it's[0] one[0] of[0] water's[0] best[1] films[0] to[0] date[0] and[0] this[0] year's[0] fight[-2] club[0] for[0] filmmakers[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
director/writer : john waters starring : stephen dorff , melaine griffith , alicia witt , adrian grenier , larry gilliard jr . , mink stole , ricki lake , kevin nealon producers : john fielder , mark tarlov , anthony delorenzo , joe caraccio jr . 	director/writer : john waters starring : stephen dorff , melaine griffith , alicia wit , adrian grenier , larry gilliard jr .<br> , mink stole , ricki lake , kevin nealon producers : john fielder , mark tarlov , anthony delorenzo , joe caraccio jr .	1	-2	 director/writer[0] john[0] waters[0] starring[0] stephen[0] dorff[0] melaine[0] griffith[0] alicia[0] witt/wit[0] adrian[0] grenier[0] larry[0] gilliard[0] jr[0] [[Sentence=-1,1=word max, 1-5]] mink[0] stole[-1] ricki[0] lake[0] kevin[0] nealon[0] producers[0] john[0] fielder[0] mark[0] tarlov[0] anthony[0] delorenzo[0] joe[0] caraccio[0] jr[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
